DAY,CENTERLAT,CENTERLON,FCOUNT
2014-02-20,40.4,-86.9,3
2014-03-12,40.4,-86.9,1
2014-03-27,40.4,-86.9,1
2014-03-28,40.4,-86.9,2
2014-04-03,40.4,-86.9,30
2014-05-09,40.4,-86.9,9
2014-05-12,40.4,-86.9,21
2014-05-13,40.4,-86.9,1
2014-05-21,40.4,-86.9,12
2014-05-28,40.4,-86.9,17
2014-06-02,40.4,-86.9,3
2014-06-04,40.4,-86.9,1
2014-06-08,40.4,-86.9,3
2014-06-11,40.4,-86.9,1
2014-06-16,40.4,-86.9,4
2014-06-18,40.4,-86.9,10
2014-06-19,40.4,-86.9,1
2014-06-20,40.4,-86.9,21
2014-06-23,40.4,-86.9,17
2014-07-01,40.4,-86.9,5
2014-07-06,40.4,-86.9,1
2014-07-13,40.4,-86.9,9
2014-07-14,40.4,-86.9,5
2014-07-23,40.4,-86.9,8
2014-07-26,40.4,-86.9,6
2014-07-27,40.4,-86.9,14
2014-07-29,40.4,-86.9,12
2014-07-30,40.4,-86.9,1
2014-08-01,40.4,-86.9,9
2014-08-11,40.4,-86.9,13
2014-08-19,40.4,-86.9,20
2014-08-22,40.4,-86.9,4
2014-08-23,40.4,-86.9,3
2014-08-25,40.4,-86.9,7
2014-08-26,40.4,-86.9,2
2014-08-27,40.4,-86.9,1
2014-08-31,40.4,-86.9,5
2014-09-01,40.4,-86.9,2
2014-09-04,40.4,-86.9,10
2014-09-06,40.4,-86.9,1
2014-09-10,40.4,-86.9,10
2014-09-15,40.4,-86.9,3
2014-09-20,40.4,-86.9,13
2014-09-21,40.4,-86.9,51
2014-10-02,40.4,-86.9,10
2014-10-03,40.4,-86.9,6
2014-10-09,40.4,-86.9,1
2014-10-13,40.4,-86.9,2
2014-10-18,40.4,-86.9,4
2014-10-28,40.4,-86.9,2
2014-11-06,40.4,-86.9,2
2014-12-08,40.4,-86.9,1
2014-12-23,40.4,-86.9,2
2014-12-28,40.4,-86.9,1
