Day of Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Jan,9340,9250,8980,9100,9790,9890,9200,9010,8920,8480,8030,7910,7980,8450,8770,8870,8660,8520,9000,9110,8940,8630,8750,9140,9190,8800,8730,9010,9470,9750,10300
Feb,9660,9080,8630,8270,8630,9310,9160,8570,8300,8810,9540,9720,9650,9440,9530,9720,9930,9880,9740,9940,10300,11000,11700,11700,11200,11100,11600,11900,11100,,
Mar,11200,10800,10500,10600,11600,12300,12000,11500,11400,11300,11600,12600,12800,13200,13900,13900,13300,12900,12800,13100,13200,13200,12800,12300,11700,11400,11300,11300,11600,11800,11800
Apr,12000,12300,12100,12000,12000,12100,12300,12300,12200,12100,12600,13200,13300,12500,11800,11300,11100,11300,11300,11600,11500,11000,10900,11000,10900,10700,10200,10300,10300,9930,
May,9640,9670,9490,8990,8260,7810,7370,7390,7530,7790,8230,9090,9520,9620,9560,9990,9970,10000,10200,9790,8970,8440,7970,7560,7770,8390,8220,7700,7590,7430,6990
Jun,6930,7140,7350,7110,6960,7010,6950,6730,6930,7220,7720,8390,8800,9590,9720,9050,8190,7320,6860,6730,6530,6380,6230,5890,5760,6150,6130,5710,5710,5640,
Jul,5420,5360,5370,5160,5160,5590,5630,5410,5400,5160,4880,4600,4590,4570,4670,4970,4830,4570,4220,4000,3870,3980,4460,4430,4160,3810,3480,3320,3150,3090,3150
Aug,3280,3210,3290,3240,3480,3440,3240,3040,2840,2840,2760,2750,2780,2770,2900,3150,3110,3040,3050,2900,2820,2910,2780,2630,2540,2440,2410,2380,2520,2680,2650
Sep,2680,3090,3130,2960,2860,2710,2660,2610,2480,2400,2550,2680,2600,2650,2700,2730,2720,2580,2490,2400,2490,2710,2650,2540,2600,2760,3150,3450,3440,3310,
Oct,3200,3310,3320,3290,3140,3010,3000,3030,2980,3010,3010,3120,3420,3390,3300,3280,3240,3390,3330,3290,3250,3130,3230,3270,3350,3380,3280,3150,3090,2970,2860
Nov,2860,3090,3840,4140,3950,3700,3550,3410,3420,3510,3570,3700,4020,4350,4490,4580,4830,4930,4940,5050,5080,5130,5080,4990,4890,4940,5200,5290,5590,5930,
Dec,6380,6480,6240,6280,6250,6360,6370,6990,7110,6700,6400,6530,6740,7000,7410,7710,7420,7030,7180,7230,7200,7590,7780,7630,7630,7610,7620,7710,8000,8410,8910
