MONTH,RAIN,TMAX,TMIN,WIND,SNOW,FRESHNESS
1,Y,139,-60,55,N,0
1,N,-16,-93,38,N,0
1,N,44,-55,29,N,0
1,N,6,-93,41,N,0
1,N,22,-110,16,N,0
1,N,0,-77,43,N,0
1,N,-21,-77,37,N,0
1,N,-55,-132,50,N,0
1,N,-16,-160,10,N,0
1,N,0,-60,47,N,0
1,Y,-32,-43,38,Y,0
1,N,-32,-60,64,Y,0
1,N,-55,-143,27,N,0
1,N,-21,-77,22,N,0
1,N,17,-110,44,N,0
1,N,-38,-166,15,N,0
1,N,28,-99,41,N,0
1,Y,39,-5,30,N,0
1,Y,-5,-55,30,N,0
1,Y,-55,-116,34,N,0
1,N,-116,-199,26,N,0
1,N,-66,-188,33,N,0
1,N,-66,-160,31,N,0
1,Y,17,-82,30,N,0
1,N,-21,-88,9,N,0
1,N,-5,-60,23,N,0
1,Y,0,-66,40,N,0
1,N,-10,-49,26,N,0
1,N,17,-43,26,N,0
1,N,11,-60,33,N,0
1,Y,-38,-82,65,Y,0
2,Y,-43,-77,93,N,0
2,Y,-16,-105,57,N,0
2,N,-66,-166,23,N,0
2,N,-21,-160,23,N,0
2,Y,-5,-77,27,N,0
2,N,17,-10,31,N,0
2,N,11,-38,45,N,0
2,N,-38,-155,44,N,0
2,N,-99,-177,31,N,0
2,N,-66,-232,22,N,0
2,N,6,-88,39,N,0
2,N,50,-27,51,N,0
2,N,94,22,45,N,0
2,N,89,-21,51,N,0
2,N,50,-43,30,N,0
2,N,144,28,19,N,0
2,N,178,117,53,N,0
2,N,156,6,52,N,0
2,N,78,-27,20,N,0
2,Y,139,-16,41,N,0
2,Y,161,-27,57,N,0
2,N,-16,-43,29,N,0
2,Y,39,-32,25,N,0
2,N,44,11,41,N,0
2,Y,22,-21,43,N,0
2,N,22,-16,15,N,0
2,Y,144,22,15,N,0
2,Y,117,-49,?,N,0
3,N,89,-66,24,N,0
3,N,72,-21,36,N,0
3,N,94,-27,50,N,0
3,Y,161,50,40,N,0
3,Y,128,0,57,N,0
3,Y,44,-21,38,N,0
3,N,61,-27,26,N,0
3,Y,122,17,43,N,0
3,Y,122,39,44,N,0
3,Y,39,-10,51,N,0
3,N,94,-16,39,N,0
3,N,106,6,64,N,0
3,N,61,0,30,N,0
3,N,78,-5,55,N,0
3,Y,72,17,36,N,0
3,Y,167,17,31,N,0
3,N,228,72,44,N,0
3,N,189,39,38,N,0
3,N,139,-16,36,N,0
3,Y,194,67,47,N,0
3,N,206,111,34,N,0
3,Y,194,83,58,N,0
3,Y,222,22,52,N,0
3,N,56,-32,50,N,0
3,N,56,-38,27,N,0
3,N,33,-38,63,N,0
3,N,56,-43,51,N,0
3,N,72,-43,31,N,0
3,N,94,-16,35,N,0
3,N,100,0,37,N,0
3,N,106,-38,14,N,0
4,Y,106,-38,24,N,0
4,N,150,0,46,N,0
4,N,272,50,62,N,0
4,Y,228,61,61,N,0
4,N,117,17,49,N,0
4,N,222,78,50,N,0
4,Y,128,61,56,N,0
4,Y,150,72,43,N,0
4,Y,244,94,41,N,0
4,N,289,178,56,N,0
4,Y,244,111,41,N,0
4,N,167,61,46,N,0
4,N,189,11,7,N,0
4,N,217,39,46,N,0
4,Y,167,67,82,N,0
4,Y,117,39,62,N,0
4,N,156,39,42,N,0
4,Y,161,72,52,N,0
4,Y,200,50,59,N,0
4,Y,172,22,55,N,0
4,N,139,-16,34,N,0
4,Y,189,78,47,N,0
4,N,222,128,39,N,0
4,Y,194,117,12,N,0
4,Y,189,144,22,N,0
4,Y,233,133,51,N,0
4,Y,156,72,37,N,0
4,Y,139,61,61,N,0
4,N,167,67,26,N,0
4,N,239,83,54,N,0
5,Y,206,94,38,N,0
5,Y,128,89,11,N,0
5,N,156,50,33,N,0
5,N,133,22,28,N,0
5,N,183,11,26,N,0
5,Y,206,106,29,N,0
5,Y,211,117,25,N,0
5,N,222,100,41,N,0
5,N,250,122,55,N,0
5,N,317,183,31,N,0
5,N,322,189,26,N,0
5,Y,306,189,30,N,0
5,N,283,128,26,N,0
5,Y,217,106,29,N,0
5,Y,133,78,53,N,0
5,N,156,56,49,N,0
5,N,156,61,42,N,0
5,Y,172,100,11,N,0
5,N,233,100,15,N,0
5,N,272,89,10,N,0
5,Y,244,156,18,N,0
5,Y,294,161,37,N,0
5,N,300,183,47,N,0
5,Y,289,167,23,N,0
5,Y,250,167,30,N,0
5,Y,172,83,41,N,0
5,Y,156,94,15,N,0
5,Y,211,133,28,N,0
5,Y,289,178,23,N,0
5,Y,328,206,36,N,0
5,Y,328,222,38,N,0
6,N,300,167,28,N,0
6,N,272,133,15,N,0
6,N,311,194,31,N,0
6,Y,361,211,31,N,0
6,Y,278,172,12,N,0
6,N,322,161,20,N,0
6,N,344,228,26,N,0
6,N,350,217,31,N,0
6,Y,294,194,42,N,0
6,Y,322,194,34,N,0
6,Y,261,150,29,N,0
6,N,222,117,38,N,0
6,N,244,133,26,N,0
6,N,267,144,28,N,0
6,Y,244,150,44,N,0
6,Y,294,161,31,N,0
6,N,306,167,12,N,0
6,Y,278,200,21,N,0
6,N,272,194,11,N,0
6,Y,256,189,33,N,0
6,Y,306,217,40,N,0
6,N,267,200,43,N,0
6,Y,217,172,43,N,0
6,N,200,167,37,N,0
6,Y,261,161,14,N,0
