MONTH,PRCP,TMAX,TMIN,WIND,SNOW
1,20,139,-60,55,N
1,0,-16,-93,38,N
1,0,44,-55,29,N
1,0,6,-93,41,N
1,0,22,-110,16,N
1,0,0,-77,43,N
1,0,-21,-77,37,N
1,0,-55,-132,50,N
1,0,-16,-160,10,N
1,0,0,-60,47,N
1,53,-32,-43,38,8
1,0,-32,-60,64,102
1,0,-55,-143,27,N
1,0,-21,-77,22,N
1,0,17,-110,44,N
1,0,-38,-166,15,N
1,0,28,-99,41,N
1,23,39,-5,30,N
1,3,-5,-55,30,N
1,15,-55,-116,34,N
1,0,-116,-199,26,N
1,0,-66,-188,33,N
1,0,-66,-160,31,N
1,5,17,-82,30,N
1,0,-21,-88,9,N
1,0,-5,-60,23,N
1,10,0,-66,40,N
1,0,-10,-49,26,N
1,0,17,-43,26,N
1,0,11,-60,33,N
1,56,-38,-82,65,13
2,48,-43,-77,93,N
2,10,-16,-105,57,N
2,0,-66,-166,23,N
2,0,-21,-160,23,N
2,38,-5,-77,27,N
2,0,17,-10,31,N
2,0,11,-38,45,N
2,0,-38,-155,44,N
2,0,-99,-177,31,N
2,0,-66,-232,22,N
2,0,6,-88,39,N
2,0,50,-27,51,N
2,0,94,22,45,N
2,0,89,-21,51,N
2,0,50,-43,30,N
2,0,144,28,19,N
2,0,178,117,53,N
2,0,156,6,52,N
2,0,78,-27,20,N
2,48,139,-16,41,N
2,211,161,-27,57,N
2,0,-16,-43,29,N
2,20,39,-32,25,N
2,0,44,11,41,N
2,28,22,-21,43,N
2,0,22,-16,15,N
2,175,144,22,15,N
2,97,117,-49,?,N
3,0,89,-66,24,N
3,0,72,-21,36,N
3,0,94,-27,50,N
3,109,161,50,40,N
3,86,128,0,57,N
3,3,44,-21,38,N
3,0,61,-27,26,N
3,66,122,17,43,N
3,71,122,39,44,N
3,8,39,-10,51,N
3,0,94,-16,39,N
3,0,106,6,64,N
3,0,61,0,30,N
3,0,78,-5,55,N
3,163,72,17,36,N
3,3,167,17,31,N
3,0,228,72,44,N
3,0,189,39,38,N
3,0,139,-16,36,N
3,5,194,67,47,N
3,0,206,111,34,N
3,3,194,83,58,N
3,30,222,22,52,N
3,0,56,-32,50,N
3,0,56,-38,27,N
3,0,33,-38,63,N
3,0,56,-43,51,N
3,0,72,-43,31,N
3,0,94,-16,35,N
3,0,100,0,37,N
3,0,106,-38,14,N
4,15,106,-38,24,N
4,0,150,0,46,N
4,0,272,50,62,N
4,107,228,61,61,N
4,0,117,17,49,N
4,0,222,78,50,N
4,33,128,61,56,N
4,152,150,72,43,N
4,23,244,94,41,N
4,0,289,178,56,N
4,69,244,111,41,N
4,0,167,61,46,N
4,0,189,11,7,N
4,0,217,39,46,N
4,33,167,67,82,N
4,33,117,39,62,N
4,0,156,39,42,N
4,15,161,72,52,N
4,427,200,50,59,N
4,3,172,22,55,N
4,0,139,-16,34,N
4,249,189,78,47,N
4,0,222,128,39,N
4,30,194,117,12,N
4,66,189,144,22,N
4,267,233,133,51,N
4,472,156,72,37,N
4,10,139,61,61,N
4,0,167,67,26,N
4,0,239,83,54,N
5,5,206,94,38,N
5,13,128,89,11,N
5,0,156,50,33,N
5,0,133,22,28,N
5,0,183,11,26,N
5,28,206,106,29,N
5,18,211,117,25,N
5,0,222,100,41,N
